date,FCFF,FCF,EBIT,CapEx,Depreciation And Amortization,Delta WC,Tax Provision,Revenue,EBITDA,Net Income,Total Debt,Total Equity,Cash,Operating Cash Flow,Dividends,Ordinary Shares Number,Net Debt,Current Assets,Current Liabilities,Pretax Income,Total Assets,Interest Expense,WorkingCapital,ttm,effective_tax_rate,ReinvestmentRate,capital_invested,ROCE,operating_margin,sales_to_capital,FCFE,ticker,share_price,company_name,company_sector,company_industry,EPS,EPS Growth Rate,PE Ratio,PEG Ratio,book_value,book_value_per_share,PB Ratio,graham_number,p_to_graham,dividends_per_share,dividend_yield,dividend_payout_ratio,debt_to_equity,current_ratio,interest_coverage,fcf_per_share,fcf_yield,market_cap,revenue_growth_pct,ebit_growth_pct,net_income_growth_pct,fcf_growth_pct,roce_trend_pct,cagr_revenue,cagr_ebit,cagr_net_income,cagr_fcf,cagr_eps
2025-08-03,3646636396.658191,2729000000.0,3445000000.0,652000000.0,1481000000.0,-166000000.0,634000000.0,81026000000.0,5003000000.0,1725000000.0,18341000000.0,11913000000.0,6829000000.0,3381000000.0,,176448461.0,11512000000.0,21370000000.0,22300000000.0,2753000000.0,50641000000.0,692000000.0,,1,0.23029422448238285,0.6997509782995376,23425000000.0,0.11319685791497079,0.042517216695875396,3.4589541088580575,3646636396.658191,ISS.CO,186.0,ISS A/S,Industrials,Facility Services,9.776225818144143,-33.165439752034096,19.025747099130434,-0.5736618371828931,32300000000.0,183.05628633394542,1.0160809209287924,200.66387525962125,0.926923193122584,,,,0.5678328173374613,0.9582959641255605,4.978323699421965,15.466272613168329,0.08315200329660391,32819413746.0,-3.265242774083399,-15.210435638690623,-33.165439752034096,-11.768509537665695,-18.476829088249957,0.03225697285634377,0.2458429449742734,0.2941317609286098,0.012861946144703928,0.3090000406802047
2025-08-03,,3451000000.0,,,,,1843000000.0,14062000000.0,,5282000000.0,442158000000.0,50166000000.0,78785000000.0,5900000000.0,1543000000.0,61322000.0,363170000000.0,,,7125000000.0,782350000000.0,15663000000.0,,1,0.25866666666666666,,413539000000.0,,,0.03400404798580061,,JYSK.CO,648.5,Jyske Bank A/S,Financials,Banks,86.13548155637454,-0.27612733966426717,7.528836993563044,-27.26581512253395,340192000000.0,5547.633801898177,0.11689668481328191,3278.9605751000895,0.1977760894487744,25.162258243371056,0.03880070662046423,0.2921241953805377,1.2997307402878375,,,56.276703303871365,0.08677980463202986,39767317000.0,-0.38254463020686025,,-0.5647590361445798,-109.68538632090035,,0.11189766079105135,,0.13561069968023087,,0.16465382644494198
2025-08-03,-702304498.2698963,252000000.0,291000000.0,598000000.0,110000000.0,461000000.0,44000000.0,3385000000.0,401000000.0,349000000.0,241000000.0,1986000000.0,1194000000.0,850000000.0,,53669396.0,-953000000.0,2501000000.0,1698000000.0,289000000.0,4930000000.0,,,1,0.1522491349480969,4.732793522267206,1033000000.0,0.23881461929342093,0.08596750369276218,3.276863504356244,-702304498.2698963,NKT.CO,565.5,NKT A/S,Industrials,Industrial Goods,6.502774877511198,3.5608308605341144,86.96287518051575,24.42207411319491,4689000000.0,87.36822750902581,6.472604699936021,113.06218680935487,5.001672229757456,,,,0.051396886329707826,1.4729093050647821,,4.695413378604075,0.008303118264551856,30350043438.0,4.089790897908974,3.1914893617021267,3.5608308605341144,-53.67647058823529,-43.661538558862745,0.16654517052686102,0.8186655408630781,2.0374587767159698,,1.9353178432610965
2025-08-03,87567057480.38638,74359000000.0,137055000000.0,56886000000.0,9461000000.0,-26622000000.0,27691000000.0,303141000000.0,146516000000.0,104615000000.0,118723000000.0,138540000000.0,38938000000.0,131245000000.0,,4441340468.0,79785000000.0,174395000000.0,236117000000.0,132306000000.0,489162000000.0,4749000000.0,,1,0.2092951188910556,0.3632365312168538,218325000000.0,0.49637035374046207,0.4521163419003038,1.3884850566815528,87567057480.38638,NOVO-B.CO,308.79998779296875,Novo Nordisk A/S B,Health Care,Pharmaceuticals,23.554825565334255,3.591515823662217,13.109839719952378,3.650224686072652,370439000000.0,83.40702602491857,3.7023258412392273,210.24831474034613,1.4687394197396189,,,,0.32049271270033663,0.7385956962014595,28.859759949463044,16.742467850811927,0.05421783844770329,1371485882302.818,4.386318323157812,6.383556752644948,3.591515823662217,6.747153993023147,11.909065452034406,0.21132451330114832,0.2326329916946892,0.2165759602617321,0.11788579601087923,0.22863026071892745
2025-08-03,-248076202.88168514,585500000.0,820400000.0,364300000.0,0.0,495606716.869974,156300000.0,4057600000.0,820400000.0,458500000.0,1699000000.0,11230700000.0,249500000.0,949800000.0,,466228115.0,1449500000.0,1945900000.0,1170200000.0,614800000.0,15057400000.0,,,1,0.25422901756668836,1.2948452294382984,12680200000.0,0.04825085676789711,0.2021884858044164,0.3199949527609975,-248076202.88168514,NSIS-B.CO,420.79998779296875,Novozymes A/S B,Health Care,Chemicals,0.9834241763819842,49.93459777632441,427.8926610703137,8.569061935514204,13358400000.0,28.652068741071094,14.686548171992069,25.179070372531157,16.712292454293152,,,,0.12718589052581147,1.6628781404888053,,1.2558230213122175,0.0029843703843691065,196188785100.73883,5.845832789878691,24.491654021244315,49.93459777632439,-11.301317982123916,26.75927904331372,0.19193674177596254,0.1095360817673765,0.020348698987683322,0.1145406994080258,-0.10409834110238725
2025-08-03,7231241667.848532,6491000000.0,7852000000.0,1753000000.0,2416000000.0,-596000000.0,1688000000.0,32193000000.0,10268000000.0,5363000000.0,15213000000.0,3833000000.0,744000000.0,8244000000.0,,78223450.0,9251000000.0,7597000000.0,9444000000.0,7051000000.0,26448000000.0,801000000.0,,1,0.23939866685576514,0.5796560674886437,18302000000.0,0.32631634071951326,0.24390395427577424,1.7589880887334717,7231241667.848532,PNDORA.CO,1074.5,Pandora A/S,Consumer Discretionary,Apparel,68.56000342608259,3.3811149989555256,15.67240295077382,4.635276515473519,11235000000.0,143.6270069908704,7.4811835358255445,470.70057579725926,2.2827675495829647,,,,1.354072096128171,0.8044260906395595,9.80274656679151,82.98023163130749,0.0772268326024267,84051097025.0,1.6193181818181746,1.6177041542642767,2.601874880428534,-7.824481681340534,-7.586275209234161,0.08308923916965849,0.09254031114299144,0.06556173566013612,0.035619906360756515,0.121697440397601
2025-08-03,,377000000.0,715000000.0,,268000000.0,2000000.0,144000000.0,3896000000.0,983000000.0,550000000.0,,3202000000.0,499000000.0,764000000.0,,1094077970.0,,1516000000.0,746000000.0,694000000.0,4177000000.0,,,1,0.207492795389049,,,,0.18352156057494867,,,ROCK-B.CO,273.0,Rockwool International A/S B,Materials,Construction Materials,0.5027064021771684,-80.67786156045167,543.0605196545454,-6.731221045659865,,,,,,,,,,2.032171581769437,,0.3445823884014409,0.001262206550921029,298683285810.0,1.0635538261997368,0.28050490883591017,0.0,-12.32558139534884,0.0,0.05982806104361349,0.1541180915163438,0.16072680875009016,0.32047418805014605,-0.22660261467280096
2025-08-03,1046297425.1182344,1314000000.0,2188000000.0,924000000.0,0.0,-256000000.0,412000000.0,15043000000.0,2188000000.0,1491000000.0,6594000000.0,6564000000.0,96000000.0,2238000000.0,,49982658.0,6498000000.0,3952000000.0,5789000000.0,1903000000.0,18760000000.0,285000000.0,,1,0.2165002627430373,0.3761261261261261,13062000000.0,0.1312431040513118,0.145449710828957,1.1516613076098607,1046297425.1182344,RBREW.CO,485.0,Royal Unibrew A/S,Consumer Staples,Food,29.830346357330576,1.993809319709694,16.258611086519114,8.154546638836269,12166000000.0,243.4044223898617,1.99256856238698,404.189138965782,1.1999332818318489,,,,0.5420023014959724,0.682674036966661,7.67719298245614,26.289118117727952,0.05420436725304732,24241589130.0,0.04655493482308426,0.6902899217671399,1.8442622950819665,-4.087591240875909,-6.871321247282536,0.14519975285374653,0.06796084806646507,0.03506380744619375,-0.002458182530767683,0.024211170895940493
2025-08-03,,6151000000.0,,94000000.0,112000000.0,,820000000.0,7368000000.0,,2546000000.0,13358000000.0,14870000000.0,17052000000.0,6245000000.0,1391000000.0,50963704.0,-3694000000.0,,,3366000000.0,191615000000.0,2316000000.0,,1,0.24361259655377301,,11176000000.0,,,0.6592698639942735,,SYDB.CO,476.6000061035156,Sydbank A/S,Financials,Banks,49.957122425795426,-7.04007417814887,9.540181318718682,-1.3551251133588476,178257000000.0,3497.7245766908936,0.13626001580559396,1982.8176252527262,0.24036502401110596,27.2939345224986,0.0572680112735258,0.5463472113118617,0.0749367486269824,,,120.69373921487339,0.25323906351075287,24289301637.457764,-2.384737678855331,,-7.820419985517746,-712.6494023904382,,0.11599950479463406,,0.15899842661049246,,0.19906200083903292
2025-08-03,,7356000000.0,,966000000.0,,,1647000000.0,41331000000.0,,4973000000.0,9577000000.0,38096000000.0,3038000000.0,,4870000000.0,603075744.0,6539000000.0,,,6693000000.0,103698000000.0,,,1,0.2460779919318691,,44635000000.0,,,0.9259773720174751,,TRYG.CO,158.0,Tryg A/S,Financials,Insurance,8.246062040260071,6.625767117911119,19.160661080233258,2.891840407194083,94121000000.0,156.0682898233095,1.0123773392972875,170.16564873383447,0.928507023454167,8.075270890019414,0.051109309430502625,0.9792881560426302,0.10175200008499698,,,12.197472826895853,0.07719919510693578,95285967552.0,2.6729598807601507,0.0,4.871362294390558,52.582451773490966,0.0,0.14669202283834415,0.22447147459032557,0.12021551508041539,0.19164452708160606,0.1429078268469235
