Year,variable,method,value,parameter_value,growth_rate
2031,Total Debt,man_inp_growth,209086561.0,0.08,0.08
2032,Total Debt,man_inp_growth,225813486.0,0.08,0.08
2033,Total Debt,man_inp_growth,243878565.0,0.08,0.08
2034,Total Debt,man_inp_growth,263388850.0,0.08,0.08
2025,Cash,cagr,,,
2026,Cash,cagr,,,
2027,Cash,cagr,,,
2028,Cash,cagr,,,
2029,Cash,cagr,,,
2030,Cash,cagr,,,
2031,Cash,cagr,,,
2032,Cash,cagr,,,
2033,Cash,cagr,,,
2034,Cash,cagr,,,
2025,Cash,slope,,,
2026,Cash,slope,,,
2027,Cash,slope,,,
2028,Cash,slope,,,
2029,Cash,slope,,,
2030,Cash,slope,,,
2031,Cash,slope,,,
2032,Cash,slope,,,
2033,Cash,slope,,,
2034,Cash,slope,,,
2025,Cash,man_inp_growth,,0.08,0.08
2026,Cash,man_inp_growth,,0.08,0.08
2027,Cash,man_inp_growth,,0.08,0.08
2028,Cash,man_inp_growth,,0.08,0.08
2029,Cash,man_inp_growth,,0.08,0.08
2030,Cash,man_inp_growth,,0.08,0.08
2031,Cash,man_inp_growth,,0.08,0.08
2032,Cash,man_inp_growth,,0.08,0.08
2033,Cash,man_inp_growth,,0.08,0.08
2034,Cash,man_inp_growth,,0.08,0.08
2025,CapEx,cagr,,,
2026,CapEx,cagr,,,
2027,CapEx,cagr,,,
2028,CapEx,cagr,,,
2029,CapEx,cagr,,,
2030,CapEx,cagr,,,
2031,CapEx,cagr,,,
2032,CapEx,cagr,,,
2033,CapEx,cagr,,,
2034,CapEx,cagr,,,
2025,CapEx,slope,-399000000.0,-24700000.0,0.03
2026,CapEx,slope,-423700000.0,-24700000.0,0.06
2027,CapEx,slope,-448400000.0,-24700000.0,0.06
2028,CapEx,slope,-473100000.0,-24700000.0,0.06
2029,CapEx,slope,-497800000.0,-24700000.0,0.05
2030,CapEx,slope,-522500000.0,-24700000.0,0.05
2031,CapEx,slope,-547200000.0,-24700000.0,0.05
2032,CapEx,slope,-571900000.0,-24700000.0,0.05
2033,CapEx,slope,-596600000.0,-24700000.0,0.04
2034,CapEx,slope,-621300000.0,-24700000.0,0.04
2025,CapEx,man_inp_growth,-417960000.0,0.08,0.08
2026,CapEx,man_inp_growth,-451396800.0,0.08,0.08
2027,CapEx,man_inp_growth,-487508544.0,0.08,0.08
2028,CapEx,man_inp_growth,-526509228.0,0.08,0.08
2029,CapEx,man_inp_growth,-568629966.0,0.08,0.08
2030,CapEx,man_inp_growth,-614120363.0,0.08,0.08
2031,CapEx,man_inp_growth,-663249992.0,0.08,0.08
2032,CapEx,man_inp_growth,-716309991.0,0.08,0.08
2033,CapEx,man_inp_growth,-773614791.0,0.08,0.08
2034,CapEx,man_inp_growth,-835503974.0,0.08,0.08
2025,Operating Cash Flow,cagr,949214093.0,0.24,0.24
2026,Operating Cash Flow,cagr,1179329051.0,0.24,0.24
2027,Operating Cash Flow,cagr,1465230047.0,0.24,0.24
2028,Operating Cash Flow,cagr,1820441113.0,0.24,0.24
2029,Operating Cash Flow,cagr,2261764870.0,0.24,0.24
2030,Operating Cash Flow,cagr,2810077344.0,0.24,0.24
2031,Operating Cash Flow,cagr,3491315468.0,0.24,0.24
2032,Operating Cash Flow,cagr,4337703988.0,0.24,0.24
2033,Operating Cash Flow,cagr,5389279788.0,0.24,0.24
2034,Operating Cash Flow,cagr,6695785769.0,0.24,0.24
2025,Operating Cash Flow,slope,957500000.0,148600000.0,0.25
2026,Operating Cash Flow,slope,1106100000.0,148600000.0,0.16
2027,Operating Cash Flow,slope,1254700000.0,148600000.0,0.13
2028,Operating Cash Flow,slope,1403300000.0,148600000.0,0.12
2029,Operating Cash Flow,slope,1551900000.0,148600000.0,0.11
2030,Operating Cash Flow,slope,1700500000.0,148600000.0,0.1
2031,Operating Cash Flow,slope,1849100000.0,148600000.0,0.09
2032,Operating Cash Flow,slope,1997700000.0,148600000.0,0.08
2033,Operating Cash Flow,slope,2146300000.0,148600000.0,0.07
2034,Operating Cash Flow,slope,2294900000.0,148600000.0,0.07
2025,Operating Cash Flow,man_inp_growth,825120000.0,0.08,0.08
2026,Operating Cash Flow,man_inp_growth,891129600.0,0.08,0.08
2027,Operating Cash Flow,man_inp_growth,962419968.0,0.08,0.08
2028,Operating Cash Flow,man_inp_growth,1039413565.0,0.08,0.08
2029,Operating Cash Flow,man_inp_growth,1122566651.0,0.08,0.08
2030,Operating Cash Flow,man_inp_growth,1212371983.0,0.08,0.08
2031,Operating Cash Flow,man_inp_growth,1309361741.0,0.08,0.08
2032,Operating Cash Flow,man_inp_growth,1414110681.0,0.08,0.08
2033,Operating Cash Flow,man_inp_growth,1527239535.0,0.08,0.08
2034,Operating Cash Flow,man_inp_growth,1649418698.0,0.08,0.08
2025,Net Issuance Payments Of Debt,cagr,,,
2026,Net Issuance Payments Of Debt,cagr,,,
2027,Net Issuance Payments Of Debt,cagr,,,
2028,Net Issuance Payments Of Debt,cagr,,,
2029,Net Issuance Payments Of Debt,cagr,,,
2030,Net Issuance Payments Of Debt,cagr,,,
2031,Net Issuance Payments Of Debt,cagr,,,
2032,Net Issuance Payments Of Debt,cagr,,,
2033,Net Issuance Payments Of Debt,cagr,,,
2034,Net Issuance Payments Of Debt,cagr,,,
2025,Net Issuance Payments Of Debt,slope,-13000000.0,700000.0,
2026,Net Issuance Payments Of Debt,slope,-12300000.0,700000.0,-0.05
2027,Net Issuance Payments Of Debt,slope,-11600000.0,700000.0,-0.06
2028,Net Issuance Payments Of Debt,slope,-10900000.0,700000.0,-0.06
2029,Net Issuance Payments Of Debt,slope,-10200000.0,700000.0,-0.06
2030,Net Issuance Payments Of Debt,slope,-9500000.0,700000.0,-0.07
2031,Net Issuance Payments Of Debt,slope,-8800000.0,700000.0,-0.07
2032,Net Issuance Payments Of Debt,slope,-8100000.0,700000.0,-0.08
2033,Net Issuance Payments Of Debt,slope,-7400000.0,700000.0,-0.09
2034,Net Issuance Payments Of Debt,slope,-6700000.0,700000.0,-0.09
2025,Net Issuance Payments Of Debt,man_inp_growth,0.0,0.08,0.08
2026,Net Issuance Payments Of Debt,man_inp_growth,0.0,0.08,0.08
2027,Net Issuance Payments Of Debt,man_inp_growth,0.0,0.08,0.08
2028,Net Issuance Payments Of Debt,man_inp_growth,0.0,0.08,0.08
2029,Net Issuance Payments Of Debt,man_inp_growth,0.0,0.08,0.08
2030,Net Issuance Payments Of Debt,man_inp_growth,0.0,0.08,0.08
2031,Net Issuance Payments Of Debt,man_inp_growth,0.0,0.08,0.08
2032,Net Issuance Payments Of Debt,man_inp_growth,0.0,0.08,0.08
2033,Net Issuance Payments Of Debt,man_inp_growth,0.0,0.08,0.08
2034,Net Issuance Payments Of Debt,man_inp_growth,0.0,0.08,0.08
2025,Current Assets,cagr,1656645644.0,0.09,0.09
2026,Current Assets,cagr,1810339570.0,0.09,0.09
2027,Current Assets,cagr,1978292324.0,0.09,0.09
2028,Current Assets,cagr,2161826755.0,0.09,0.09
2029,Current Assets,cagr,2362388441.0,0.09,0.09
2030,Current Assets,cagr,2581557070.0,0.09,0.09
2031,Current Assets,cagr,2821058888.0,0.09,0.09
2032,Current Assets,cagr,3082780289.0,0.09,0.09
2033,Current Assets,cagr,3368782675.0,0.09,0.09
2034,Current Assets,cagr,3681318696.0,0.09,0.09
2025,Current Assets,slope,1362000000.0,93600000.0,-0.1
2026,Current Assets,slope,1455600000.0,93600000.0,0.07
2027,Current Assets,slope,1549200000.0,93600000.0,0.06
2028,Current Assets,slope,1642800000.0,93600000.0,0.06
2029,Current Assets,slope,1736400000.0,93600000.0,0.06
2030,Current Assets,slope,1830000000.0,93600000.0,0.05
2031,Current Assets,slope,1923600000.0,93600000.0,0.05
2032,Current Assets,slope,2017200000.0,93600000.0,0.05
2033,Current Assets,slope,2110800000.0,93600000.0,0.05
2034,Current Assets,slope,2204400000.0,93600000.0,0.04
2025,Current Assets,man_inp_growth,1637280000.0,0.08,0.08
2026,Current Assets,man_inp_growth,1768262400.0,0.08,0.08
2027,Current Assets,man_inp_growth,1909723392.0,0.08,0.08
2028,Current Assets,man_inp_growth,2062501263.0,0.08,0.08
2029,Current Assets,man_inp_growth,2227501364.0,0.08,0.08
2030,Current Assets,man_inp_growth,2405701474.0,0.08,0.08
2031,Current Assets,man_inp_growth,2598157591.0,0.08,0.08
2032,Current Assets,man_inp_growth,2806010199.0,0.08,0.08
2033,Current Assets,man_inp_growth,3030491015.0,0.08,0.08
2034,Current Assets,man_inp_growth,3272930296.0,0.08,0.08
2025,Current Liabilities,cagr,779644061.0,0.05,0.05
2026,Current Liabilities,cagr,814805445.0,0.05,0.05
2027,Current Liabilities,cagr,851552581.0,0.05,0.05
2028,Current Liabilities,cagr,889956987.0,0.05,0.05
2029,Current Liabilities,cagr,930093404.0,0.05,0.05
2030,Current Liabilities,cagr,972039945.0,0.05,0.05
2031,Current Liabilities,cagr,1015878244.0,0.05,0.05
2032,Current Liabilities,cagr,1061693618.0,0.05,0.05
2033,Current Liabilities,cagr,1109575233.0,0.05,0.05
2034,Current Liabilities,cagr,1159616274.0,0.05,0.05
2025,Current Liabilities,slope,611000000.0,13100000.0,-0.18
2026,Current Liabilities,slope,624100000.0,13100000.0,0.02
2027,Current Liabilities,slope,637200000.0,13100000.0,0.02
2028,Current Liabilities,slope,650300000.0,13100000.0,0.02
