Year,variable,method,value,parameter_value,growth_rate
2025,Cash,slope,27455500000.0,-867200000.0,-0.03
2026,Cash,slope,26588300000.0,-867200000.0,-0.03
2027,Cash,slope,25721100000.0,-867200000.0,-0.03
2028,Cash,slope,24853900000.0,-867200000.0,-0.03
2029,Cash,slope,23986700000.0,-867200000.0,-0.03
2030,Cash,slope,23119500000.0,-867200000.0,-0.04
2031,Cash,slope,22252300000.0,-867200000.0,-0.04
2032,Cash,slope,21385100000.0,-867200000.0,-0.04
2033,Cash,slope,20517900000.0,-867200000.0,-0.04
2034,Cash,slope,19650700000.0,-867200000.0,-0.04
2025,Cash,man_inp_growth,29851720000.0,0.06,0.06
2026,Cash,man_inp_growth,31642823200.0,0.06,0.06
2027,Cash,man_inp_growth,33541392592.0,0.06,0.06
2028,Cash,man_inp_growth,35553876148.0,0.06,0.06
2029,Cash,man_inp_growth,37687108716.0,0.06,0.06
2030,Cash,man_inp_growth,39948335239.0,0.06,0.06
2031,Cash,man_inp_growth,42345235354.0,0.06,0.06
2032,Cash,man_inp_growth,44885949475.0,0.06,0.06
2033,Cash,man_inp_growth,47579106443.0,0.06,0.06
2034,Cash,man_inp_growth,50433852830.0,0.06,0.06
2025,CapEx,cagr,10495432991.0,-0.05,-0.05
2026,CapEx,cagr,9950687775.0,-0.05,-0.05
2027,CapEx,cagr,9434216509.0,-0.05,-0.05
2028,CapEx,cagr,8944551688.0,-0.05,-0.05
2029,CapEx,cagr,8480301976.0,-0.05,-0.05
2030,CapEx,cagr,8040148251.0,-0.05,-0.05
2031,CapEx,cagr,7622839856.0,-0.05,-0.05
2032,CapEx,cagr,7227191048.0,-0.05,-0.05
2033,CapEx,cagr,6852077630.0,-0.05,-0.05
2034,CapEx,cagr,6496433750.0,-0.05,-0.05
2025,CapEx,slope,9384000000.0,-466300000.0,-0.15
2026,CapEx,slope,8917700000.0,-466300000.0,-0.05
2027,CapEx,slope,8451400000.0,-466300000.0,-0.05
2028,CapEx,slope,7985100000.0,-466300000.0,-0.06
2029,CapEx,slope,7518800000.0,-466300000.0,-0.06
2030,CapEx,slope,7052500000.0,-466300000.0,-0.06
2031,CapEx,slope,6586200000.0,-466300000.0,-0.07
2032,CapEx,slope,6119900000.0,-466300000.0,-0.07
2033,CapEx,slope,5653600000.0,-466300000.0,-0.08
2034,CapEx,slope,5187300000.0,-466300000.0,-0.08
2025,CapEx,man_inp_growth,11734200000.0,0.06,0.06
2026,CapEx,man_inp_growth,12438252000.0,0.06,0.06
2027,CapEx,man_inp_growth,13184547120.0,0.06,0.06
2028,CapEx,man_inp_growth,13975619947.0,0.06,0.06
2029,CapEx,man_inp_growth,14814157144.0,0.06,0.06
2030,CapEx,man_inp_growth,15703006573.0,0.06,0.06
2031,CapEx,man_inp_growth,16645186967.0,0.06,0.06
2032,CapEx,man_inp_growth,17643898185.0,0.06,0.06
2033,CapEx,man_inp_growth,18702532076.0,0.06,0.06
2034,CapEx,man_inp_growth,19824684001.0,0.06,0.06
2025,Operating Cash Flow,cagr,114334540055.0,0.04,0.04
2026,Operating Cash Flow,cagr,119321507262.0,0.04,0.04
2027,Operating Cash Flow,cagr,124525992657.0,0.04,0.04
2028,Operating Cash Flow,cagr,129957483801.0,0.04,0.04
2029,Operating Cash Flow,cagr,135625882079.0,0.04,0.04
2030,Operating Cash Flow,cagr,141541520748.0,0.04,0.04
2031,Operating Cash Flow,cagr,147715183773.0,0.04,0.04
2032,Operating Cash Flow,cagr,154158125487.0,0.04,0.04
2033,Operating Cash Flow,cagr,160882091107.0,0.04,0.04
2034,Operating Cash Flow,cagr,167899338145.0,0.04,0.04
2025,Operating Cash Flow,slope,121506500000.0,3104000000.0,0.11
2026,Operating Cash Flow,slope,124610500000.0,3104000000.0,0.03
2027,Operating Cash Flow,slope,127714500000.0,3104000000.0,0.02
2028,Operating Cash Flow,slope,130818500000.0,3104000000.0,0.02
2029,Operating Cash Flow,slope,133922500000.0,3104000000.0,0.02
2030,Operating Cash Flow,slope,137026500000.0,3104000000.0,0.02
2031,Operating Cash Flow,slope,140130500000.0,3104000000.0,0.02
2032,Operating Cash Flow,slope,143234500000.0,3104000000.0,0.02
2033,Operating Cash Flow,slope,146338500000.0,3104000000.0,0.02
2034,Operating Cash Flow,slope,149442500000.0,3104000000.0,0.02
2025,Operating Cash Flow,man_inp_growth,116129360000.0,0.06,0.06
2026,Operating Cash Flow,man_inp_growth,123097121600.0,0.06,0.06
2027,Operating Cash Flow,man_inp_growth,130482948896.0,0.06,0.06
2028,Operating Cash Flow,man_inp_growth,138311925830.0,0.06,0.06
2029,Operating Cash Flow,man_inp_growth,146610641380.0,0.06,0.06
2030,Operating Cash Flow,man_inp_growth,155407279862.0,0.06,0.06
2031,Operating Cash Flow,man_inp_growth,164731716654.0,0.06,0.06
2032,Operating Cash Flow,man_inp_growth,174615619653.0,0.06,0.06
2033,Operating Cash Flow,man_inp_growth,185092556832.0,0.06,0.06
2034,Operating Cash Flow,man_inp_growth,196198110242.0,0.06,0.06
2025,Net Debt,cagr,66439653062.0,-0.05,-0.05
2026,Net Debt,cagr,63038779547.0,-0.05,-0.05
2027,Net Debt,cagr,59811987926.0,-0.05,-0.05
2028,Net Debt,cagr,56750367399.0,-0.05,-0.05
2029,Net Debt,cagr,53845463286.0,-0.05,-0.05
2030,Net Debt,cagr,51089253679.0,-0.05,-0.05
2031,Net Debt,cagr,48474127294.0,-0.05,-0.05
2032,Net Debt,cagr,45992862446.0,-0.05,-0.05
2033,Net Debt,cagr,43638607109.0,-0.05,-0.05
2034,Net Debt,cagr,41404859997.0,-0.05,-0.05
2025,Net Debt,slope,72358000000.0,-5457900000.0,0.03
2026,Net Debt,slope,66900100000.0,-5457900000.0,-0.08
2027,Net Debt,slope,61442200000.0,-5457900000.0,-0.08
2028,Net Debt,slope,55984300000.0,-5457900000.0,-0.09
2029,Net Debt,slope,50526400000.0,-5457900000.0,-0.1
2030,Net Debt,slope,45068500000.0,-5457900000.0,-0.11
2031,Net Debt,slope,39610600000.0,-5457900000.0,-0.12
2032,Net Debt,slope,34152700000.0,-5457900000.0,-0.14
