Year,variable,method,value,parameter_value,growth_rate
2026,Cash,cagr,,,
2027,Cash,cagr,,,
2028,Cash,cagr,,,
2029,Cash,cagr,,,
2030,Cash,cagr,,,
2031,Cash,cagr,,,
2032,Cash,cagr,,,
2033,Cash,cagr,,,
2034,Cash,cagr,,,
2025,Cash,slope,,,
2026,Cash,slope,,,
2027,Cash,slope,,,
2028,Cash,slope,,,
2029,Cash,slope,,,
2030,Cash,slope,,,
2031,Cash,slope,,,
2032,Cash,slope,,,
2033,Cash,slope,,,
2034,Cash,slope,,,
2025,Cash,man_inp_growth,,0.05,0.05
2026,Cash,man_inp_growth,,0.05,0.05
2027,Cash,man_inp_growth,,0.05,0.05
2028,Cash,man_inp_growth,,0.05,0.05
2029,Cash,man_inp_growth,,0.05,0.05
2030,Cash,man_inp_growth,,0.05,0.05
2031,Cash,man_inp_growth,,0.05,0.05
2032,Cash,man_inp_growth,,0.05,0.05
2033,Cash,man_inp_growth,,0.05,0.05
2034,Cash,man_inp_growth,,0.05,0.05
2025,CapEx,cagr,,,
2026,CapEx,cagr,,,
2027,CapEx,cagr,,,
2028,CapEx,cagr,,,
2029,CapEx,cagr,,,
2030,CapEx,cagr,,,
2031,CapEx,cagr,,,
2032,CapEx,cagr,,,
2033,CapEx,cagr,,,
2034,CapEx,cagr,,,
2025,CapEx,slope,-1102500000.0,-293900000.0,0.26
2026,CapEx,slope,-1396400000.0,-293900000.0,0.27
2027,CapEx,slope,-1690300000.0,-293900000.0,0.21
2028,CapEx,slope,-1984200000.0,-293900000.0,0.17
2029,CapEx,slope,-2278100000.0,-293900000.0,0.15
2030,CapEx,slope,-2572000000.0,-293900000.0,0.13
2031,CapEx,slope,-2865900000.0,-293900000.0,0.11
2032,CapEx,slope,-3159800000.0,-293900000.0,0.1
2033,CapEx,slope,-3453700000.0,-293900000.0,0.09
2034,CapEx,slope,-3747600000.0,-293900000.0,0.09
2025,CapEx,man_inp_growth,-918750000.0,0.05,0.05
